sample_id,split,gloss,text,frames,start,end
00_0001,train,سوال هو,من هو,55,0,55
00_0002,train,هو معلم لغه اشاره,هو مدرس لغه اشاره,143,55,198
00_0003,train,استفهام هو معلم هو,هل انت مدرس,98,198,296
00_0004,train,هو معلم لا انا مدرسه,انت لست مدرس انا طالب,168,296,464
00_0005,train,هو سوال,هو من,128,464,592
00_0006,train,هو صديق مدرسه,هو زميلي في المدرسه,103,592,695
00_0007,train,استفهام هو صديق مدرسه,هل هو زميلك في المدرسه,147,695,842
00_0008,train,انا اسره رقم ثلاث اشخاص,اسرتي تتكون من ثلاث اشخاص,180,842,1022
00_0009,train,رقم عمر ابن بنت,كم عمر ابنتك,136,1022,1158
00_0010,train,عمر اربع سن عمر,عمرها اربع سنوات,146,1158,1304
00_0011,train,عمر سن خمسون سن,عمره خمسين سنه,115,1304,1419
00_0012,train,سوال بنت ابن,اين ابنته,91,1419,1510
00_0013,train,عمر ابن خمسون سن,عمر ابنه خمسين سنه,114,1510,1624
00_0014,train,معرفه هو لغه اشاره,هو يعرف لغه الاشاره,98,1624,1722
00_0015,train,معرفه لغه اشاره,اعرف لغه الاشاره,121,1722,1843
00_0016,train,هو معرفه ام لغه اشاره,هل تعرف والدتك لغه الاشاره,152,1843,1995
00_0017,train,لا معرفه لغه اشاره,لا تعلم لغه الاشاره,138,1995,2133
00_0018,train,ممكن هو قدره كتابه اسم هو,ممكن تكتب اسمك,139,2133,2272
00_0019,train,انا كتابه,انا اكتب,85,2272,2357
00_0020,train,استفهام تاريخ الان سوال,ما هو تاريخ اليوم,156,2357,2513
00_0021,train,الان واحد شهر عشر,اليوم هو واحد اكتوبر,208,2513,2721
00_0022,train,انا ذهاب مدرسه سبب كره_قدم,انا اذهب الى المدرسه لالعب كره القدم,190,2721,2911
00_0023,train,انا قلب قدره,انوي القيام به,103,2911,3014
00_0024,train,هو رغبه شرب سوال,ماذا تريد ان تشرب,114,3014,3128
00_0025,train,انا رغبه شرب شاي,انا اريد ان اشرب الشاي,132,3128,3260
00_0026,train,هو رغبه اكل سوال,ماذا تريد ان تاكل,128,3260,3388
00_0027,train,انا رغبه اكل رز,اريد ان اكل رز,111,3388,3499
00_0028,train,انا رغبه ذهاب مكتبه بعد صيف,اريد ان اذهب الى المكتبه بعد الظهر,182,3499,3681
00_0029,train,هو رغبه بعد صيف سوال,ماذا تريد ان تفعل بعد الظهر,123,3681,3804
00_0030,train,انا رغبه ذهاب لوحه بقاله,اريد ان اذهب الى السوبرماركت بعد الظهر,156,3804,3960
00_0031,train,سبب رغبه شراء,ماذا تريد ان تشتري,157,3960,4117
00_0032,train,انا رغبه كوب شراء,اريد شراء كوب,139,4117,4256
00_0033,train,انا رغبه معرفه لغه اشاره,اريد ان اتعلم لغه الاشاره,181,4256,4437
00_0034,train,انا رغبه ذهاب مدرسه سبب قراءه غدا,اريد ان اذهب الى المدرسه لقراءه الكتب غدا,221,4437,4658
00_0035,train,رقم معلم مدرسه هو,كم عدد المدرسين في مدرستك,183,4658,4841
00_0036,train,رقم اشخاص مدرسه هو مدرسه,كم عدد الاشخاص في مدرستك,173,4841,5014
00_0037,train,سوال قط,اين القطه,159,5014,5173
00_0038,train,قط صغير تحت طاوله,القط الصغير تحت الطاوله,158,5173,5331
00_0039,train,اب هو منزل يوجد,والدك في المنزل,148,5331,5479
00_0040,train,لا منزل لا_يوجد,ليس في المنزل,110,5479,5589
00_0041,train,سوال اب,اين والدك,99,5589,5688
00_0042,train,اب مستشفى يوجد,والدي في المستشفى,156,5688,5844
00_0043,train,سوال عمل,اين يعمل,126,5844,5970
00_0044,train,صديق انا مدرسه,صديقي في المدرسه,125,5970,6095
00_0045,train,انا ام منزل,امي في المنزل,120,6095,6215
00_0046,train,سوال كوب شرب,اين الكوب,162,6215,6377
00_0047,train,سوال صديق هو,اين اصدقائك,148,6377,6525
00_0048,train,قراءه سوال مكان مدرسه,القراءه في المدرسه,158,6525,6683
00_0049,train,طاوله هو سوال,ماذا يوجد على الطاوله,192,6683,6875
00_0050,train,طاوله كتاب لاب_توب يوجد,هناك كتب و كمبيوترعلى الطاوله,173,6875,7048
00_0051,train,هو اسم هو,ما اسمه,115,7048,7163
00_0052,train,اسم هو ولد خلف,ما اسم ذلك الرجل في الخلف,183,7163,7346
00_0053,train,استئذان انا كرسي الان,ممكن اجلس على الكرسي,152,7346,7498
00_0054,train,استئذان دعوه كرسي,من فضلك اجلس,138,7498,7636
00_0055,train,سوال كرسي يوجد سوال,ماذا يوجد على الكرسي,197,7636,7833
00_0056,train,كرسي قط صغير فوق_كرسي,هناك قط صغير على الكرسي,187,7833,8020
00_0057,train,يوجد مدرسه يوجد بيع,يوجد متجر في المدرسه,163,8020,8183
00_0058,train,رقم وقت الان,كم الوقت الان,129,8183,8312
00_0059,train,وقت سوال عشر,الساعه العاشره,135,8312,8447
00_0060,train,وقت هو صيف اكل وقت سوال,متى تاكل في الظهر,182,8447,8629
00_0061,train,تاريخ وقت اب انا منزل اخر تاريخ,متى سيعود ابي الى المنزل,197,8629,8826
00_0062,train,وقت خمس ليل,الوقت الخامسه مساء,114,8826,8940
00_0063,train,هو تاريخ ذهاب سينما فيلم تاريخ,متى نذهب الى السينما,157,8940,9097
00_0064,train,هو الان مطر,يوجد مطر الان,136,9097,9233
00_0065,train,لا مطر الان لا,لا يوجد مطر الان,97,9233,9330
00_0066,train,لا برد الان,لا يوجد برد الان,229,9330,9559
00_0067,train,سوال صحه هو,كيف حالك,89,9559,9648
00_0068,train,شكر د,شكرا دكتور,77,9648,9725
00_0069,train,هو مطر غدا,هل ستمطر غدا,146,9725,9871
00_0070,train,لا غدا مطر لا,لن تمطر غدا,149,9871,10020
00_0071,train,هو عمل سوال,ماذا تعمل,100,10020,10120
00_0072,train,انا شعر قراءه,انا اقرا,123,10120,10243
00_0073,train,انا شراء تفاحه موزه انواع,انا اشتريت فواكه,134,10243,10377
00_0074,train,انا سعيد مقابله,انا سعيد بلقائك,120,10377,10497
